#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Sat Oct 30 18:34:27 EDT 2021,4,4,LispInterpreterRequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , , ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,0,0,true,ClassRegistryProvided MainClassProvided , , ,ClassRegistryProvided-(0.0/0.0) MainClassProvided-(0.0/0.0) , ,
0,Sat Oct 30 18:34:27 EDT 2021,4,4,LispInterpreterRequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , , ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,0,0,true,ClassRegistryProvided MainClassProvided , , ,ClassRegistryProvided-(0.0/0.0) MainClassProvided-(0.0/0.0) , ,
1,Sat Oct 30 18:34:32 EDT 2021,4,0,LispInterpreterLoadSuite,ClassRegistryProvided MainClassProvided , ,CondTestedChecker+ CondTestedResultsChecker+ ConsTestedChecker+ ConsTestedTwoResultsChecker+ EvalTestedChecker+ EvalTestedTwoResultsChecker+ ListTestedChecker+ ListTestedTwoResultsChecker+ LoadChecker+ QuoteTestedChecker+ QuoteTestedTwoResultsChecker+ TestLispFileProvided+ ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker ,0,1,true,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,TestLispFileProvided , ,CondTestedChecker-(0.0/10.0) CondTestedResultsChecker-(0.0/20.0) ConsTestedChecker-(0.0/10.0) ConsTestedTwoResultsChecker-(0.0/10.0) EvalTestedChecker-(0.0/10.0) EvalTestedTwoResultsChecker-(0.0/10.0) ListTestedChecker-(0.0/10.0) ListTestedTwoResultsChecker-(0.0/10.0) LoadChecker-(0.0/0.0) QuoteTestedChecker-(0.0/10.0) QuoteTestedTwoResultsChecker-(0.0/10.0) , ,
1,Sat Oct 30 18:34:32 EDT 2021,4,0,LispInterpreterLoadSuite,ClassRegistryProvided MainClassProvided , ,CondTestedChecker+ CondTestedResultsChecker+ ConsTestedChecker+ ConsTestedTwoResultsChecker+ EvalTestedChecker+ EvalTestedTwoResultsChecker+ ListTestedChecker+ ListTestedTwoResultsChecker+ LoadChecker+ QuoteTestedChecker+ QuoteTestedTwoResultsChecker+ TestLispFileProvided+ ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker ,0,1,true,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,TestLispFileProvided , ,CondTestedChecker-(0.0/10.0) CondTestedResultsChecker-(0.0/20.0) ConsTestedChecker-(0.0/10.0) ConsTestedTwoResultsChecker-(0.0/10.0) EvalTestedChecker-(0.0/10.0) EvalTestedTwoResultsChecker-(0.0/10.0) ListTestedChecker-(0.0/10.0) ListTestedTwoResultsChecker-(0.0/10.0) LoadChecker-(0.0/0.0) QuoteTestedChecker-(0.0/10.0) QuoteTestedTwoResultsChecker-(0.0/10.0) , ,
2,Sat Oct 30 18:34:34 EDT 2021,4,0,LispInterpreterLoadLogicalSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker+ AndTestedTwoResultsChecker+ CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker NotTestedChecker+ NotTestedTwoResultsChecker+ OrTestedChecker+ OrTestedTwoResultsChecker+ QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker ,0,2,true,AndTestedChecker AndTestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker , , ,AndTestedChecker-(0.0/10.0) AndTestedTwoResultsChecker-(0.0/10.0) NotTestedChecker-(0.0/10.0) NotTestedTwoResultsChecker-(0.0/10.0) OrTestedChecker-(0.0/10.0) OrTestedTwoResultsChecker-(0.0/10.0) , ,
2,Sat Oct 30 18:34:34 EDT 2021,4,0,LispInterpreterLoadLogicalSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker+ AndTestedTwoResultsChecker+ CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker NotTestedChecker+ NotTestedTwoResultsChecker+ OrTestedChecker+ OrTestedTwoResultsChecker+ QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LorETestedChecker LorETestedTwoResultsChecker ,0,2,true,AndTestedChecker AndTestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker , , ,AndTestedChecker-(0.0/10.0) AndTestedTwoResultsChecker-(0.0/10.0) NotTestedChecker-(0.0/10.0) NotTestedTwoResultsChecker-(0.0/10.0) OrTestedChecker-(0.0/10.0) OrTestedTwoResultsChecker-(0.0/10.0) , ,
3,Sat Oct 30 18:34:35 EDT 2021,4,0,LispInterpreterLoadRelationSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker+ GorETestedTwoResultsChecker+ GreaterTestedChecker+ GreaterTestedTwoResultsChecker+ LessTestedChecker+ LessTestedTwoResultsChecker+ ListTestedChecker ListTestedTwoResultsChecker LoadChecker LorETestedChecker+ LorETestedTwoResultsChecker+ NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings ListToStringChecker ListToStringDeepChecker ,0,3,true,GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker , , ,GorETestedChecker-(0.0/10.0) GorETestedTwoResultsChecker-(0.0/10.0) GreaterTestedChecker-(0.0/10.0) GreaterTestedTwoResultsChecker-(0.0/10.0) LessTestedChecker-(0.0/10.0) LessTestedTwoResultsChecker-(0.0/10.0) LorETestedChecker-(0.0/10.0) LorETestedTwoResultsChecker-(0.0/10.0) , ,
3,Sat Oct 30 18:34:35 EDT 2021,4,0,LispInterpreterLoadRelationSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker+ GorETestedTwoResultsChecker+ GreaterTestedChecker+ GreaterTestedTwoResultsChecker+ LessTestedChecker+ LessTestedTwoResultsChecker+ ListTestedChecker ListTestedTwoResultsChecker LoadChecker LorETestedChecker+ LorETestedTwoResultsChecker+ NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings ListToStringChecker ListToStringDeepChecker ,0,3,true,GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker , , ,GorETestedChecker-(0.0/10.0) GorETestedTwoResultsChecker-(0.0/10.0) GreaterTestedChecker-(0.0/10.0) GreaterTestedTwoResultsChecker-(0.0/10.0) LessTestedChecker-(0.0/10.0) LessTestedTwoResultsChecker-(0.0/10.0) LorETestedChecker-(0.0/10.0) LorETestedTwoResultsChecker-(0.0/10.0) , ,
4,Sat Oct 30 18:34:37 EDT 2021,4,0,TestLispFileProvided,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings ListToStringChecker ListToStringDeepChecker ,0,4,false, , , ,TestLispFileProvided-(0.0/0.0) , ,
4,Sat Oct 30 18:34:37 EDT 2021,4,0,TestLispFileProvided,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker TestLispFileProvided ,A5CommonPropertiesInherited A5CommonSignaturesAreInherited A5Encapsulation A5InterfaceAsType A5NoHiddenFields A5NoStarImports A5NonPublicAccessModifiersMatched A5PackageDeclarations A5PublicMethodsOverride BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker F21A5NoCheckstyleWarnings ListToStringChecker ListToStringDeepChecker ,0,4,false, , , ,TestLispFileProvided-(0.0/0.0) , ,
